truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
2.24021,1.68585,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
1.23516,0.687304,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
1.6529,1.21204,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
1.80815,1.4371,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
1.49703,1.6851,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
1.26584,1.55312,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
2.24202,1.94821,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
1.78063,0.701104,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
0.571079,0.897936,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
2.15187,0.990993,1,1.33337,-338.552,0.31448,76.0709,-0.819785,-338.84,0.312786,75.5302,-0.819083
2.29429,1.66082,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
2.40068,0.624835,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
1.82017,0.0904781,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
1.78615,1.14751,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.340304,1.01783,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.573868,0.617621,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
1.39547,1.2095,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.362084,0.294681,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.942596,0.828979,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.0241093,0.0432513,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.1894,0.126915,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.62946,0.934841,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.00884926,1.06367,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.589323,0.529393,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
0.114361,1.77507,1,1.25857,77.9907,0.484908,-1129.13,1.14725,73.7023,0.489882,-1123.48,1.13948
