truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
1.26757,1.27509,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.409831,0.422022,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.623687,0.604952,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.234052,0.248102,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.09178,1.10117,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.94953,1.95424,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
2.33917,2.3111,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.48143,1.45802,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.517686,1.04815,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.69854,2.19515,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.84401,1.24582,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.663171,0.0988394,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.519033,1.20744,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.69988,2.35443,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.84267,1.08654,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.661817,0.0604515,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.200822,1.47137,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
0.646975,2.32946,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.89643,0.244824,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.04863,0.613267,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.74834,0.0286049,1,2.11125,323.59,-3.67326,-21.5399,6.52972,344.694,-3.90269,-11.6664,6.42654
1.73166,1.45084,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
1.4125,0.177175,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.520564,1.81838,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.0111459,0.481435,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.367482,0.91152,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
1.19568,0.908449,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
2.06435,2.38181,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.30399,0.971375,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.660253,0.541341,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.143661,0.41491,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.306222,0.61008,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
1.08492,0.0674635,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
0.758956,1.81705,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
2.34946,0.591525,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
1.68639,0.606039,1,1.34995,-875.461,0.36439,1303.27,-1.24086,-863.814,0.352629,1280.43,-1.2189
1.96961,1.49138,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.13702,0.428955,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
1.37636,1.14137,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.456231,0.778957,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.361014,0.539035,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
1.23672,1.10044,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.877397,0.585399,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
2.47516,2.22489,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
1.95877,2.17849,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.720334,1.05404,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
1.4299,1.35496,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.387848,0.470487,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
2.20561,2.29595,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
